=== v54-MSFT-risk (2026-08-18 16:49-18:15 ET, 30 ops, all fresh) ===
2026-08-18 16:49 ET | v54-MSFT-risk/gnews | Microsoft earnings Azure growth quarter when:30d
2026-08-19 01:11 UTC | 819b3-team-APLD-industry/gnews | q7 Prime Data Centers expansion
2026-08-19 01:11 UTC | 819b3-team-APLD-industry/gnews | q8 Chirisa Generation AI data center
2026-08-19 01:11 UTC | 819b3-team-APLD-industry/gnews | q9 CoreWeave Nebius leasing capacity 2026
2026-08-19 01:11 UTC | 819b3-team-APLD-industry/gnews | q10 Digital Realty Equinix AI leasing 2026
2026-08-19 01:11 UTC | 819b3-team-APLD-industry/yahoo-api | quotes APLD CRWV NBIS DLR EQIX VRT MUSA
2026-08-19 01:11 UTC | 819b3-team-APLD-industry/curl-stocktitan | APLD news list
2026-08-19 01:11 UTC | 819b3-team-APLD-risk/sec-edgar | FY26 10-K full text 3.1MB downloaded (accession 0001144879-26-000048)
2026-08-19 01:11 UTC | 819b3-team-APLD-industry/curl-stocktitan-rss | APLD feed
2026-08-19 01:12 UTC | 819b3-team-APLD-industry/curl-apld-ir | APLD IR newsroom
2026-08-19 01:12 UTC | 819b3-team-APLD-industry/gnews | q11 Meta Compute warning CoreWeave Nebius details
2026-08-19 01:13 UTC | 819b3-team-APLD-industry/bing-rss | Meta Compute article URLs
2026-08-19 01:13 UTC | 819b3-team-APLD-industry/jina-stocktitan | APLD release URLs
2026-08-19 01:14 UTC | 819b3-team-APLD-risk/sec-edgar-form4 | 8月4份Form4 XML逐笔：Cummins 7/31 PSU归属1.6M股+F代扣629,600+J分配714,685(272 Capital)，直接持股17,590,238股≈6.0%股本(另IRA 742,166+家族Ltd+1.5M RSU，10-K称">7%")；Mohmand A 245K/F 96K/J 13K；Laltrello A 600K/F 260K；董事Nottenburg 8/4卖出75,000股@$31.00-31.22(余直接133,378+7,747 RSU，脚注无10b5-1标识)
2026-08-19 01:14 UTC | 819b3-team-APLD-risk/gnews | FQ1/27财报日搜索：得历史节奏(FQ2 26/1/7、FQ3 26/4/8、FQ4 26/7/27)未直接命中10/8公告
2026-08-19 09:25 UTC | 819b3-team-APLD-financial/gnews | APLD Q4 FY26 earnings call cash interest guidance FY27 search
2026-08-19 01:14 UTC | 819b3-team-APLD-risk/stockanalysis | APLD实页：Earnings Oct 8 2026/Beta 5.77/PT 74.23(+160%)/52W 13.16-50.73/前收31.18→8/18收28.51(-8.56%)交叉一致
2026-08-19 01:14 UTC | 819b3-team-APLD-risk/yahoo-chart | APLD 8月日线：8/12 $31.15→8/14 $31.20→8/17 $31.18→8/18 $28.51(-8.56%,17.5M股)——8/18为板块级暴跌日(与CRDO-13.5%/FN-20.8%同日)
2026-08-19 09:27 UTC | 819b3-team-APLD-financial/brave | Applied Digital 473.8 cash interest origin search
2026-08-19 01:15 UTC | 819b3-team-APLD-risk/gnews | PF2/进度线索：7/1 PF1二号楼交付(GNW+DCD 7/2)、3/10 $2.15B票据交割建Harwood、7/13 KFYR:PF3 Oliver County选址——再查10-K正文PF2施工状态
2026-08-19 01:15 UTC | 819b3-team-APLD-risk/sec-10k | PF2一手状态(10-K 7/29)：2025-8-18动工Harwood 200MW，"anticipate initial capacity 2H CY2026, full capacity early CY2027"，两栋楼2026年内分阶段上线；5/31/26时点1.5GW签约/在建中仅~100MW运营生息
2026-08-19 01:15 UTC | 819b3-team-APLD-risk/gnews | 租户capex-CoreWeave：Q2/26(8/11)收入翻倍/backlog $129B(六周+$29.6B)/股价+19.5%，"AI基建需求加速"；CNBC/247wallst/TechTimes多源
2026-08-19 01:15 UTC | 819b3-team-APLD-risk/gnews | 租户capex-Oracle：6/10 Q4FY26纪录+Reuters"AI支出超预期债务担忧"；6/8 capex或达$100B(Stargate)；**7/13 S&P因$70B数据中心支出降级Oracle、股价跌至$140**——PF2锚租户信用观察项；TIKR:$553B签约backlog
2026-08-19 01:16 UTC | 819b3-team-APLD-industry/gnews | q12 Babcock Wilcox Applied Digital 1GW gas LNTP
2026-08-19 01:16 UTC | 819b3-team-APLD-risk/webfetch-fred | ICE BofA HY OAS：8/17收2.70%（近五日2.67-2.72窄幅），无趋势性走阔——融资市场对APLD类高杠杆发行人仍处历史友好区
2026-08-19 01:17 UTC | 819b3-team-APLD-risk/cboe | APLD期权全链(CBOE延迟)：现价28.49；8/21周±7.4%、9/18月±19.0%、10/16月(含10/8财报)ATM跨式$8.32=±29.2%，方差分解法财报事件溢价约±7-12%(无10/9周度合约，标注方法缺口)；IV 77-103%；OI大头在1/2027 LEAPS 25-50C与1/2028 8C(65,674张)
2026-08-19 01:17 UTC | 819b3-team-APLD-risk/gnews | 卖方/新闻面：7/30 TechTimes"FQ4超预期$164M但股价因债务负担下跌"+Barchart"稳健季报后怎么看"；11家Strong Buy/PT$74.23(stockanalysis)；TIKR 4/29"超预期61%市场未充分注意"
2026-08-19 01:17 UTC | 819b3-team-APLD-industry/gnews | q13 Delta Forge 2 fifth campus location
2026-08-19 09:31 UTC | 819b3-team-APLD-financial/ir-applieddigital | PF2 lease PR (IR detail/132): 2025-10-22 $5B 15y lease 200MW with US investment-grade hyperscaler at Polaris Forge 2 (dual-source vs 10-K lease table)
2026-08-19 09:31 UTC | 819b3-team-APLD-financial/globenewswire | PF3 PR fetch TIMEOUT(000) - single-source gap marked; PF3 $7.5B/300MW covered by 10-K table + FQ4 PR (dual-source ok)
2026-08-19 01:17 UTC | 819b3-team-APLD-industry/gnews | q14 Crusoe Fermi powered land AI campus competitors
2026-08-19 01:18 UTC | 819b3-team-APLD-industry/gnews | q15 grid interconnection queue years data center power scarcity
2026-08-19 01:18 UTC | 819b3-team-APLD-industry/gnews | q16 Fermi Project Matador largest data center trouble
2026-08-19 09:40 UTC | 819b3-team-APLD-financial/gnews | APLD 8/18 selloff context: HPC/AI-infra sector pullback (sector beta, not company-specific news found)
2026-08-19 09:41 UTC | 819b3-team-APLD-financial/financial_rigor | tools: verify-market-cap(8.31B 0.00pct) + cross-validate x2(price 28.51 dual-src 0pct; FY26 rev 611.3 0pct) + calc x12(473.8/232.69/46.14M/35.66pct dilution/PIK-5.80B-2035/EV 12.74B=0.35x of 36.2B/coverage 1.40x-1.74x/MOIC 3.285B) + three-scenario x3(bull 44.3 +55.2pct / base 13.3 -53.2pct / bear impaired)
2026-08-19 01:19 UTC | 819b3-team-APLD-industry/gnews | q17 Vertiv AI backlog power cooling
2026-08-19 01:19 UTC | 819b3-team-APLD-risk/yahoo-beta-selfcalc | Beta双源：stockanalysis 5.77(方法未注明) vs 自算6个月日频(Yahoo数据)β=4.18 vs SPY/2.63 vs QQQ、corr 0.60、年化波动100%(≈6.3%/日σ)——"5.77"处于合理区间上沿，波动量级结论不变
2026-08-19 01:19 UTC | 819b3-team-APLD-risk/gnews | 8月新闻面：8/18无公司负面（GuruFocus仅记-8.6%+GF Score 44）；同日SeekingAlpha上调评级；8/17 simplywall.st"4.2x涨幅后估值充分"——8/18暴跌定性=板块贝塔(Fabrinet日)
2026-08-19 09:55 UTC | 819b3-team-APLD-financial/write | APLD-team-financial.md written (13 searches: edgar x5 + gnews x3 + stockanalysis + brave + ir + globenewswire-timeout + yahoo; financial_rigor x22 ops embedded; dual-sourced: price/shares/revenue/36.2B/PF2-lease/convert-terms; gaps marked: transcript 403, restricted-cash split, CHRN value, PF3-PR timeout, PF2 tenant unnamed, warrant strikes)
2026-08-19 01:21 UTC | 819b3-team-APLD-industry/write | APLD-team-industry.md written (ops: gnews-rss x17 + yahoo-chart x6 + stocktitan x2 + jina x5 + bing/webfetch attempts; dual-sourced: 1.4GW/$36B/2.15GW portfolio, PF3 $7.5B 300MW, DF2 $5.2B 210MW x Reuters, B&W >=1GW LNTP + Cleco 756MW, Meta Compute chain 5/27+7/1, Intersect $4.75B + Meitner 1GW+, TX 474GW pause; gaps marked: 1.2GW single-source, "修正案数字" unlocatable, DF2 site, tenant identity, paywalled WSJ/Bloomberg bodies)
2026-08-19 01:24 UTC | 819b3-team-APLD-risk/sec-8k-fq4 | FQ4 PR原文核对：FQ4收入$258.7M(+407%)/Adj EBITDA $42.4M；CRWV信用增强(springing担保+$50M LC)；$2.15B 6.75%票据专款PF2+MEC贷款购变压器；DF2 $5.2B第三连签
2026-08-19 01:24 UTC | 819b3-team-APLD-risk/write | APLD-team-risk.md written (report; 18 ops: sec x8 + gnews x8 + stockanalysis x1 + yahoo x3 + cboe x1 + fred/webfetch x1; risk 7.5/10; odds 1.60:1@$28.51 vs 4.09:1@$26; gaps marked)
